,location,hmax,d,m
1,Bella Coola-Dean Rivers,0.48,1.43E-05,0
2,Bella Coola River-Late,NA,NA,NA
3,Douglas-Gardner,0.36,1.42E-05,9835
4,Hecate Lowlands,0.43,1.12E-05,0
5,Mussel-Kynock,0.41,1.35E-05,0
6,Rivers Inlet,0.41,1.35E-05,0
7,Smith Inlet,0.28,5.52E-05,0
8,Spiller-Fitz-Hugh-Burke,0.45,4.53E-06,0
,mean,0.40,1.81E-05,1405
,excl rivers & smith,0.43,1.15E-05,1967
