scenario,species,simYears,nIndicator,nNonIndicator,nPop,a_mean,sigma_a,logSmax_ind_mean,logSmax_nonInd_mean,logSmax_ind_sd,logSmax_nonInd_sd,greenHab,amberHab,redHab,rho,sigma_u,correlPop,corrMat,recCap,extinctThresh,gen,meanRec2,meanRec3,meanRec4,meanRec5,meanRec6,ageErr,harvContRule,targetHarvest,maxHarvest,d,m,sigma_harvest,sigma_obs,obs_bias,obs_biasChangeYear,obs_bias2,sigma_catch,catch_bias,obsAgeErr,ppnSampled_ind,ppnChange_ind,ppnSampled_nonInd,ppnChange_nonInd,samplingDeclStart_ind,samplingDeclEnd_ind,samplingDeclStart_nonInd,samplingDeclEnd_nonInd,ExpFactor3
base_prePSAC,chum,50,15,20,35,1.4,0.12,9.1,7.2,1.38,2.07,100,0,0,0.476,0.68,0.4,FALSE,500000,100,5,0,0.23,0.64,0.13,0,0.8,fixedER,0.35,NA,NA,NA,0.13,0.5,-0.4,NA,NA,0.2,0,0.1,0.762,-0.047,0.719,-0.667,24,50,24,50,1.5
base,chum,50,15,20,35,1.4,0.47,7.95,6.95,1.44,1.18,50,29,21,0.422,1.13,0.46,FALSE,500000,100,5,0,0.23,0.64,0.13,0,0.8,variableER,NA,0.42,1.13E-05,0,0.13,0.5,-0.4,NA,NA,0.2,0,0.1,0.762,-0.047,0.719,-0.667,24,50,24,50,1.5
base_changeObsBias,chum,50,15,20,35,1.4,0.47,7.95,6.95,1.44,1.18,50,29,21,0.422,1.13,0.46,FALSE,500000,100,5,0,0.23,0.64,0.13,0,0.8,variableER,NA,0.42,1.13E-05,0,0.13,0.5,-0.4,25,-0.4,0.2,0,0.1,0.762,-0.047,0.719,-0.667,24,50,24,50,1.5
baseGreen,chum,50,15,20,35,1.4,0.47,7.95,6.95,1.44,1.18,50,29,21,0.422,1.13,0.46,FALSE,500000,100,5,0,0.23,0.64,0.13,0,0.8,variableER,NA,0.42,1.13E-05,0,0.13,0.5,-0.4,NA,NA,0.2,0,0.1,0.762,-0.047,0.719,-0.667,24,50,24,50,1.5
baseAmber,chum,50,15,20,35,0.565,0.47,7.95,6.95,1.44,1.18,50,29,21,0.422,1.13,0.46,FALSE,500000,100,5,0,0.23,0.64,0.13,0,0.8,fixedER,0.42,NA,NA,NA,0.13,0.5,-0.4,NA,NA,0.2,0,0.1,0.762,-0.047,0.719,-0.667,24,50,24,50,1.5
baseRed,chum,50,15,20,35,0.565,0.47,7.95,6.95,1.44,1.18,50,29,21,0.422,1.13,0.46,FALSE,500000,100,5,0,0.23,0.64,0.13,0,0.8,fixedER,0.6,NA,NA,NA,0.13,0.5,-0.4,NA,NA,0.2,0,0.1,0.762,-0.047,0.719,-0.667,24,50,24,50,1.5
